Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Steps (count)
08-Apr-2018 00:00,09-Apr-2018 00:00,0.0,0.0,0.0,854.0
09-Apr-2018 00:00,10-Apr-2018 00:00,0.0,0.0,4.0,5057.0
10-Apr-2018 00:00,11-Apr-2018 00:00,0.0,0.0,1.0,2689.0
11-Apr-2018 00:00,12-Apr-2018 00:00,0.0,0.0,8.0,7533.0
12-Apr-2018 00:00,13-Apr-2018 00:00,0.0,0.0,2.0,3610.0
13-Apr-2018 00:00,14-Apr-2018 00:00,0.0,0.0,1.0,5402.0
14-Apr-2018 00:00,15-Apr-2018 00:00,0.0,0.0,4.0,6214.0
15-Apr-2018 00:00,16-Apr-2018 00:00,0.0,0.0,0.0,2494.0
16-Apr-2018 00:00,17-Apr-2018 00:00,0.0,0.0,0.0,3944.0
17-Apr-2018 00:00,18-Apr-2018 00:00,0.0,0.0,27.0,9321.0
18-Apr-2018 00:00,19-Apr-2018 00:00,0.0,0.0,0.0,3813.0
19-Apr-2018 00:00,20-Apr-2018 00:00,0.0,0.0,1.0,1133.0
20-Apr-2018 00:00,21-Apr-2018 00:00,0.0,0.0,0.0,234.0
21-Apr-2018 00:00,22-Apr-2018 00:00,0.0,0.0,5.0,2815.51439541731
22-Apr-2018 00:00,23-Apr-2018 00:00,0.0,0.0,38.0,10186.4856045827
23-Apr-2018 00:00,24-Apr-2018 00:00,0.0,0.0,2.0,1552.0
24-Apr-2018 00:00,25-Apr-2018 00:00,0.0,0.0,3.0,2240.0
25-Apr-2018 00:00,26-Apr-2018 00:00,0.0,0.0,2.0,3774.0
26-Apr-2018 00:00,27-Apr-2018 00:00,0.0,0.0,0.0,1323.04869557395
27-Apr-2018 00:00,28-Apr-2018 00:00,0.0,0.0,4.0,5911.95130442605
28-Apr-2018 00:00,29-Apr-2018 00:00,0.0,0.0,0.0,1584.0
29-Apr-2018 00:00,30-Apr-2018 00:00,0.0,0.0,1.0,3255.0
30-Apr-2018 00:00,01-May-2018 00:00,0.0,0.0,3.0,2633.0
01-May-2018 00:00,02-May-2018 00:00,0.0,0.0,0.0,1973.0
02-May-2018 00:00,03-May-2018 00:00,0.0,0.0,3.0,4542.28478073214
03-May-2018 00:00,04-May-2018 00:00,0.0,0.0,53.0,6116.71521926786
04-May-2018 00:00,05-May-2018 00:00,0.0,0.0,3.0,4396.0
05-May-2018 00:00,06-May-2018 00:00,0.0,0.0,2.0,3633.09672713869
06-May-2018 00:00,07-May-2018 00:00,0.0,0.0,5.0,4425.21211049319
07-May-2018 00:00,08-May-2018 00:00,0.0,0.0,2.0,5867.69116236812
08-May-2018 00:00,09-May-2018 00:00,0.0,0.0,3.0,2462.0
09-May-2018 00:00,10-May-2018 00:00,0.0,0.0,0.0,2325.0
10-May-2018 00:00,11-May-2018 00:00,0.0,0.0,3.0,2794.0
11-May-2018 00:00,12-May-2018 00:00,0.0,0.0,2.0,2315.0
12-May-2018 00:00,13-May-2018 00:00,0.0,0.0,6.0,9349.0
13-May-2018 00:00,14-May-2018 00:00,0.0,0.0,3.0,1470.0
14-May-2018 00:00,15-May-2018 00:00,0.0,0.0,3.0,5455.0
15-May-2018 00:00,16-May-2018 00:00,0.0,0.0,2.0,4611.0
16-May-2018 00:00,17-May-2018 00:00,0.0,0.0,1.0,3813.0
17-May-2018 00:00,18-May-2018 00:00,0.0,0.0,0.0,2296.0
18-May-2018 00:00,19-May-2018 00:00,0.0,0.0,5.0,3349.0
19-May-2018 00:00,20-May-2018 00:00,0.0,0.0,5.0,8995.0
20-May-2018 00:00,21-May-2018 00:00,0.0,0.0,25.0,5254.0
21-May-2018 00:00,22-May-2018 00:00,0.0,0.0,7.0,2001.0
22-May-2018 00:00,23-May-2018 00:00,0.0,0.0,2.0,2692.0
23-May-2018 00:00,24-May-2018 00:00,0.0,0.0,5.0,4132.0
24-May-2018 00:00,25-May-2018 00:00,0.0,0.0,7.0,2356.0
25-May-2018 00:00,26-May-2018 00:00,0.0,0.0,0.0,3618.0
26-May-2018 00:00,27-May-2018 00:00,0.0,0.0,1.0,2906.0
27-May-2018 00:00,28-May-2018 00:00,0.0,0.0,4.0,1511.0
28-May-2018 00:00,29-May-2018 00:00,0.0,0.0,5.0,4082.60402345624
29-May-2018 00:00,30-May-2018 00:00,0.0,0.0,4.0,3963.39597654376
30-May-2018 00:00,31-May-2018 00:00,0.0,0.0,4.0,6069.0
31-May-2018 00:00,01-Jun-2018 00:00,0.0,0.0,0.0,3022.0
01-Jun-2018 00:00,02-Jun-2018 00:00,0.0,0.0,0.0,7487.0
02-Jun-2018 00:00,03-Jun-2018 00:00,0.0,0.0,2.0,926.0
03-Jun-2018 00:00,04-Jun-2018 00:00,0.0,0.0,6.0,5544.0
04-Jun-2018 00:00,05-Jun-2018 00:00,0.0,0.0,0.0,4822.0
05-Jun-2018 00:00,06-Jun-2018 00:00,0.0,0.0,0.0,780.0
06-Jun-2018 00:00,07-Jun-2018 00:00,0.0,0.0,4.0,4303.0
07-Jun-2018 00:00,08-Jun-2018 00:00,0.0,0.0,3.0,2823.0
08-Jun-2018 00:00,09-Jun-2018 00:00,0.0,0.0,2.0,3490.0
09-Jun-2018 00:00,10-Jun-2018 00:00,0.0,0.0,0.0,3999.96543669199
10-Jun-2018 00:00,11-Jun-2018 00:00,0.0,0.0,2.0,3900.03456330801
11-Jun-2018 00:00,12-Jun-2018 00:00,0.0,0.0,7.0,5201.0
12-Jun-2018 00:00,13-Jun-2018 00:00,0.0,0.0,0.0,2678.0
13-Jun-2018 00:00,14-Jun-2018 00:00,0.0,0.0,0.0,3766.0
14-Jun-2018 00:00,15-Jun-2018 00:00,0.0,0.0,0.0,4317.0
15-Jun-2018 00:00,16-Jun-2018 00:00,0.0,0.0,13.0,6236.0
16-Jun-2018 00:00,17-Jun-2018 00:00,0.0,0.0,1.0,2483.0
17-Jun-2018 00:00,18-Jun-2018 00:00,0.0,0.0,0.0,6371.0
18-Jun-2018 00:00,19-Jun-2018 00:00,0.0,0.0,1.0,5120.0
19-Jun-2018 00:00,20-Jun-2018 00:00,0.0,0.0,34.0,10316.0
20-Jun-2018 00:00,21-Jun-2018 00:00,0.0,0.0,34.0,12112.0
21-Jun-2018 00:00,22-Jun-2018 00:00,0.0,0.0,5.0,4267.0
22-Jun-2018 00:00,23-Jun-2018 00:00,0.0,0.0,2.0,2683.0
23-Jun-2018 00:00,24-Jun-2018 00:00,0.0,0.0,1.0,3576.0
24-Jun-2018 00:00,25-Jun-2018 00:00,0.0,0.0,8.0,4296.0
25-Jun-2018 00:00,26-Jun-2018 00:00,0.0,0.0,1.0,4419.0
26-Jun-2018 00:00,27-Jun-2018 00:00,0.0,0.0,5.0,5254.0
27-Jun-2018 00:00,28-Jun-2018 00:00,0.0,0.0,0.0,3909.0
28-Jun-2018 00:00,29-Jun-2018 00:00,0.0,0.0,4.0,4859.0
29-Jun-2018 00:00,30-Jun-2018 00:00,0.0,0.0,2.0,6712.0
30-Jun-2018 00:00,01-Jul-2018 00:00,0.0,0.0,0.0,6528.74971919869
01-Jul-2018 00:00,02-Jul-2018 00:00,0.0,0.0,14.0,5578.25028080131
02-Jul-2018 00:00,03-Jul-2018 00:00,0.0,0.0,0.0,1492.0
03-Jul-2018 00:00,04-Jul-2018 00:00,0.0,0.0,2.0,3728.0
04-Jul-2018 00:00,05-Jul-2018 00:00,0.0,0.0,28.0,12068.0
05-Jul-2018 00:00,06-Jul-2018 00:00,0.0,0.0,6.0,8344.0
06-Jul-2018 00:00,07-Jul-2018 00:00,0.0,0.0,26.0,9981.0
07-Jul-2018 00:00,08-Jul-2018 00:00,0.0,0.0,2.0,4135.0
08-Jul-2018 00:00,09-Jul-2018 00:00,0.0,0.0,0.0,2001.0
09-Jul-2018 00:00,10-Jul-2018 00:00,0.0,0.0,4.0,5688.0
10-Jul-2018 00:00,11-Jul-2018 00:00,0.0,0.0,1.0,2880.0
11-Jul-2018 00:00,12-Jul-2018 00:00,0.0,0.0,28.0,8450.0
12-Jul-2018 00:00,13-Jul-2018 00:00,0.0,0.0,8.0,5756.63349541993
13-Jul-2018 00:00,14-Jul-2018 00:00,0.0,0.0,22.0,5601.48531393381
14-Jul-2018 00:00,15-Jul-2018 00:00,0.0,0.0,13.0,14023.8811906463
15-Jul-2018 00:00,16-Jul-2018 00:00,0.0,0.0,0.0,3608.0
16-Jul-2018 00:00,17-Jul-2018 00:00,0.0,0.0,0.0,3450.0
17-Jul-2018 00:00,18-Jul-2018 00:00,0.0,0.0,4.0,3441.0
18-Jul-2018 00:00,19-Jul-2018 00:00,0.0,0.0,0.0,5607.0
19-Jul-2018 00:00,20-Jul-2018 00:00,0.0,0.0,3.0,4978.0
20-Jul-2018 00:00,21-Jul-2018 00:00,0.0,0.0,2.0,6993.0
21-Jul-2018 00:00,22-Jul-2018 00:00,0.0,0.0,1.0,10187.0
22-Jul-2018 00:00,23-Jul-2018 00:00,0.0,0.0,39.0,13321.0
23-Jul-2018 00:00,24-Jul-2018 00:00,0.0,0.0,23.0,8167.34123531774
24-Jul-2018 00:00,25-Jul-2018 00:00,0.0,0.0,23.0,5746.49651172794
25-Jul-2018 00:00,26-Jul-2018 00:00,0.0,0.0,50.0,9289.16225295432
26-Jul-2018 00:00,27-Jul-2018 00:00,0.0,0.0,2.0,3456.0
27-Jul-2018 00:00,28-Jul-2018 00:00,0.0,0.0,0.0,7270.0
28-Jul-2018 00:00,29-Jul-2018 00:00,0.0,0.0,2.0,3202.0
29-Jul-2018 00:00,30-Jul-2018 00:00,0.0,0.0,5.0,7418.80251056729
30-Jul-2018 00:00,31-Jul-2018 00:00,0.0,0.0,0.0,5861.73837509606
31-Jul-2018 00:00,01-Aug-2018 00:00,0.0,0.0,23.0,4647.45911433665
01-Aug-2018 00:00,02-Aug-2018 00:00,0.0,0.0,3.0,6012.0
02-Aug-2018 00:00,03-Aug-2018 00:00,0.0,0.0,3.0,5467.0
03-Aug-2018 00:00,04-Aug-2018 00:00,0.0,0.0,3.0,5287.0
04-Aug-2018 00:00,05-Aug-2018 00:00,0.0,0.0,0.0,942.0
05-Aug-2018 00:00,06-Aug-2018 00:00,0.0,0.0,2.0,3697.0
06-Aug-2018 00:00,07-Aug-2018 00:00,0.0,0.0,4.0,4035.0
07-Aug-2018 00:00,08-Aug-2018 00:00,0.0,0.0,5.0,4495.0
08-Aug-2018 00:00,09-Aug-2018 00:00,0.0,0.0,6.0,6981.0
09-Aug-2018 00:00,10-Aug-2018 00:00,0.0,0.0,3.0,3015.51329213431
10-Aug-2018 00:00,11-Aug-2018 00:00,0.0,0.0,9.0,10916.8445636238
11-Aug-2018 00:00,12-Aug-2018 00:00,0.0,0.0,4.0,3903.64214424187
12-Aug-2018 00:00,13-Aug-2018 00:00,0.0,0.0,5.0,2430.0
13-Aug-2018 00:00,14-Aug-2018 00:00,0.0,0.0,3.0,3141.0
14-Aug-2018 00:00,15-Aug-2018 00:00,0.0,0.0,10.0,7092.986768482
15-Aug-2018 00:00,16-Aug-2018 00:00,0.0,0.0,7.0,4094.013231518
16-Aug-2018 00:00,17-Aug-2018 00:00,0.0,0.0,0.0,2764.0
17-Aug-2018 00:00,18-Aug-2018 00:00,0.0,0.0,0.0,2427.0
18-Aug-2018 00:00,19-Aug-2018 00:00,0.0,0.0,0.0,2208.0
19-Aug-2018 00:00,20-Aug-2018 00:00,0.0,0.0,3.0,3301.0
20-Aug-2018 00:00,21-Aug-2018 00:00,0.0,0.0,2.0,4798.0
21-Aug-2018 00:00,22-Aug-2018 00:00,0.0,0.0,2.0,3158.0
22-Aug-2018 00:00,23-Aug-2018 00:00,0.0,0.0,0.0,2209.0
23-Aug-2018 00:00,24-Aug-2018 00:00,0.0,0.0,1.0,2319.0
24-Aug-2018 00:00,25-Aug-2018 00:00,0.0,0.0,8.0,5754.0
25-Aug-2018 00:00,26-Aug-2018 00:00,0.0,0.0,2.0,2413.0
26-Aug-2018 00:00,27-Aug-2018 00:00,0.0,0.0,0.0,2531.0
27-Aug-2018 00:00,28-Aug-2018 00:00,0.0,0.0,0.0,1772.0
28-Aug-2018 00:00,29-Aug-2018 00:00,0.0,0.0,9.0,6259.0
29-Aug-2018 00:00,30-Aug-2018 00:00,0.0,0.0,2.0,7101.0
30-Aug-2018 00:00,31-Aug-2018 00:00,0.0,0.0,1.0,1321.0
31-Aug-2018 00:00,01-Sep-2018 00:00,0.0,0.0,0.0,0.0
01-Sep-2018 00:00,02-Sep-2018 00:00,0.0,0.0,0.0,0.0
02-Sep-2018 00:00,03-Sep-2018 00:00,0.0,0.0,0.0,0.0
03-Sep-2018 00:00,04-Sep-2018 00:00,0.0,0.0,0.0,0.0
04-Sep-2018 00:00,05-Sep-2018 00:00,0.0,0.0,0.0,0.0
05-Sep-2018 00:00,06-Sep-2018 00:00,0.0,0.0,0.0,0.0
06-Sep-2018 00:00,07-Sep-2018 00:00,0.0,0.0,0.0,0.0
07-Sep-2018 00:00,08-Sep-2018 00:00,0.0,0.0,0.0,0.0
08-Sep-2018 00:00,09-Sep-2018 00:00,0.0,0.0,0.0,0.0
09-Sep-2018 00:00,10-Sep-2018 00:00,0.0,0.0,0.0,0.0
10-Sep-2018 00:00,11-Sep-2018 00:00,0.0,0.0,0.0,0.0
11-Sep-2018 00:00,12-Sep-2018 00:00,0.0,0.0,0.0,0.0
12-Sep-2018 00:00,13-Sep-2018 00:00,0.0,0.0,0.0,0.0
13-Sep-2018 00:00,14-Sep-2018 00:00,0.0,0.0,0.0,0.0
14-Sep-2018 00:00,15-Sep-2018 00:00,0.0,0.0,0.0,0.0
15-Sep-2018 00:00,16-Sep-2018 00:00,0.0,0.0,0.0,0.0
16-Sep-2018 00:00,17-Sep-2018 00:00,0.0,0.0,0.0,0.0
17-Sep-2018 00:00,18-Sep-2018 00:00,0.0,0.0,0.0,0.0
18-Sep-2018 00:00,19-Sep-2018 00:00,0.0,0.0,0.0,0.0
19-Sep-2018 00:00,20-Sep-2018 00:00,0.0,0.0,0.0,0.0
20-Sep-2018 00:00,21-Sep-2018 00:00,0.0,0.0,0.0,0.0
21-Sep-2018 00:00,22-Sep-2018 00:00,0.0,0.0,0.0,0.0
22-Sep-2018 00:00,23-Sep-2018 00:00,0.0,0.0,0.0,0.0
23-Sep-2018 00:00,24-Sep-2018 00:00,0.0,0.0,0.0,0.0
24-Sep-2018 00:00,25-Sep-2018 00:00,0.0,0.0,0.0,0.0
25-Sep-2018 00:00,26-Sep-2018 00:00,0.0,0.0,0.0,0.0
26-Sep-2018 00:00,27-Sep-2018 00:00,0.0,0.0,0.0,0.0
27-Sep-2018 00:00,28-Sep-2018 00:00,0.0,0.0,0.0,0.0
28-Sep-2018 00:00,29-Sep-2018 00:00,0.0,0.0,0.0,0.0
29-Sep-2018 00:00,30-Sep-2018 00:00,0.0,0.0,0.0,0.0
30-Sep-2018 00:00,01-Oct-2018 00:00,0.0,0.0,0.0,0.0
01-Oct-2018 00:00,02-Oct-2018 00:00,0.0,0.0,0.0,0.0
02-Oct-2018 00:00,03-Oct-2018 00:00,0.0,0.0,0.0,0.0
03-Oct-2018 00:00,04-Oct-2018 00:00,0.0,0.0,0.0,0.0
04-Oct-2018 00:00,05-Oct-2018 00:00,0.0,0.0,0.0,0.0
05-Oct-2018 00:00,06-Oct-2018 00:00,0.0,0.0,0.0,0.0
06-Oct-2018 00:00,07-Oct-2018 00:00,0.0,0.0,0.0,0.0
07-Oct-2018 00:00,08-Oct-2018 00:00,0.0,0.0,0.0,0.0
08-Oct-2018 00:00,09-Oct-2018 00:00,0.0,0.0,0.0,0.0
09-Oct-2018 00:00,10-Oct-2018 00:00,0.0,0.0,0.0,0.0
10-Oct-2018 00:00,11-Oct-2018 00:00,0.0,0.0,0.0,0.0
11-Oct-2018 00:00,12-Oct-2018 00:00,0.0,0.0,0.0,0.0
12-Oct-2018 00:00,13-Oct-2018 00:00,0.0,0.0,0.0,0.0
13-Oct-2018 00:00,14-Oct-2018 00:00,0.0,0.0,0.0,0.0
14-Oct-2018 00:00,15-Oct-2018 00:00,0.0,0.0,0.0,0.0
15-Oct-2018 00:00,16-Oct-2018 00:00,0.0,0.0,0.0,0.0
16-Oct-2018 00:00,17-Oct-2018 00:00,0.0,0.0,0.0,0.0
17-Oct-2018 00:00,18-Oct-2018 00:00,0.0,0.0,0.0,0.0
18-Oct-2018 00:00,19-Oct-2018 00:00,0.0,0.0,0.0,0.0
19-Oct-2018 00:00,20-Oct-2018 00:00,0.0,0.0,0.0,0.0
20-Oct-2018 00:00,21-Oct-2018 00:00,0.0,0.0,0.0,0.0
21-Oct-2018 00:00,22-Oct-2018 00:00,0.0,0.0,0.0,0.0
22-Oct-2018 00:00,23-Oct-2018 00:00,0.0,0.0,0.0,0.0
23-Oct-2018 00:00,24-Oct-2018 00:00,0.0,0.0,0.0,0.0
24-Oct-2018 00:00,25-Oct-2018 00:00,0.0,0.0,0.0,0.0
25-Oct-2018 00:00,26-Oct-2018 00:00,0.0,0.0,0.0,0.0
26-Oct-2018 00:00,27-Oct-2018 00:00,0.0,0.0,0.0,0.0
27-Oct-2018 00:00,28-Oct-2018 00:00,0.0,0.0,0.0,0.0
28-Oct-2018 00:00,29-Oct-2018 00:00,0.0,0.0,0.0,0.0
29-Oct-2018 00:00,30-Oct-2018 00:00,0.0,0.0,0.0,0.0
30-Oct-2018 00:00,31-Oct-2018 00:00,0.0,0.0,0.0,0.0
31-Oct-2018 00:00,01-Nov-2018 00:00,0.0,0.0,0.0,0.0
01-Nov-2018 00:00,02-Nov-2018 00:00,0.0,0.0,0.0,0.0
02-Nov-2018 00:00,03-Nov-2018 00:00,0.0,0.0,0.0,0.0
03-Nov-2018 00:00,04-Nov-2018 00:00,0.0,0.0,0.0,0.0
04-Nov-2018 00:00,05-Nov-2018 00:00,0.0,0.0,0.0,0.0
05-Nov-2018 00:00,06-Nov-2018 00:00,0.0,0.0,0.0,0.0
06-Nov-2018 00:00,07-Nov-2018 00:00,0.0,0.0,0.0,0.0
07-Nov-2018 00:00,08-Nov-2018 00:00,0.0,0.0,0.0,0.0
08-Nov-2018 00:00,09-Nov-2018 00:00,0.0,0.0,0.0,0.0
09-Nov-2018 00:00,10-Nov-2018 00:00,0.0,0.0,0.0,0.0
10-Nov-2018 00:00,11-Nov-2018 00:00,0.0,0.0,0.0,0.0
11-Nov-2018 00:00,12-Nov-2018 00:00,0.0,0.0,0.0,0.0
12-Nov-2018 00:00,13-Nov-2018 00:00,0.0,0.0,0.0,0.0
13-Nov-2018 00:00,14-Nov-2018 00:00,0.0,0.0,0.0,0.0
14-Nov-2018 00:00,15-Nov-2018 00:00,0.0,0.0,0.0,0.0
15-Nov-2018 00:00,16-Nov-2018 00:00,0.0,0.0,0.0,0.0
16-Nov-2018 00:00,17-Nov-2018 00:00,0.0,0.0,0.0,0.0
17-Nov-2018 00:00,18-Nov-2018 00:00,0.0,0.0,0.0,0.0
18-Nov-2018 00:00,19-Nov-2018 00:00,0.0,0.0,0.0,0.0
19-Nov-2018 00:00,20-Nov-2018 00:00,0.0,0.0,0.0,0.0
20-Nov-2018 00:00,21-Nov-2018 00:00,0.0,0.0,0.0,0.0
21-Nov-2018 00:00,22-Nov-2018 00:00,0.0,0.0,0.0,0.0
22-Nov-2018 00:00,23-Nov-2018 00:00,0.0,0.0,0.0,0.0
23-Nov-2018 00:00,24-Nov-2018 00:00,0.0,0.0,0.0,0.0
24-Nov-2018 00:00,25-Nov-2018 00:00,0.0,0.0,0.0,0.0
25-Nov-2018 00:00,26-Nov-2018 00:00,0.0,0.0,0.0,0.0
26-Nov-2018 00:00,27-Nov-2018 00:00,0.0,0.0,0.0,0.0
27-Nov-2018 00:00,28-Nov-2018 00:00,0.0,0.0,0.0,0.0
28-Nov-2018 00:00,29-Nov-2018 00:00,0.0,0.0,0.0,0.0
29-Nov-2018 00:00,30-Nov-2018 00:00,0.0,0.0,0.0,0.0
30-Nov-2018 00:00,01-Dec-2018 00:00,0.0,0.0,0.0,0.0
01-Dec-2018 00:00,02-Dec-2018 00:00,0.0,0.0,0.0,0.0
02-Dec-2018 00:00,03-Dec-2018 00:00,0.0,0.0,0.0,0.0
03-Dec-2018 00:00,04-Dec-2018 00:00,0.0,0.0,0.0,0.0
04-Dec-2018 00:00,05-Dec-2018 00:00,0.0,0.0,0.0,0.0
05-Dec-2018 00:00,06-Dec-2018 00:00,0.0,0.0,0.0,0.0
06-Dec-2018 00:00,07-Dec-2018 00:00,0.0,0.0,0.0,0.0
07-Dec-2018 00:00,08-Dec-2018 00:00,0.0,0.0,0.0,0.0
08-Dec-2018 00:00,09-Dec-2018 00:00,0.0,0.0,0.0,0.0
09-Dec-2018 00:00,10-Dec-2018 00:00,0.0,0.0,0.0,0.0
10-Dec-2018 00:00,11-Dec-2018 00:00,0.0,0.0,0.0,0.0
11-Dec-2018 00:00,12-Dec-2018 00:00,0.0,0.0,0.0,0.0
12-Dec-2018 00:00,13-Dec-2018 00:00,0.0,0.0,0.0,0.0
13-Dec-2018 00:00,14-Dec-2018 00:00,0.0,0.0,0.0,0.0
14-Dec-2018 00:00,15-Dec-2018 00:00,0.0,0.0,0.0,0.0
15-Dec-2018 00:00,16-Dec-2018 00:00,0.0,0.0,0.0,0.0
16-Dec-2018 00:00,17-Dec-2018 00:00,0.0,0.0,0.0,0.0
17-Dec-2018 00:00,18-Dec-2018 00:00,0.0,0.0,0.0,0.0
18-Dec-2018 00:00,19-Dec-2018 00:00,0.0,0.0,0.0,0.0
19-Dec-2018 00:00,20-Dec-2018 00:00,0.0,0.0,0.0,0.0
20-Dec-2018 00:00,21-Dec-2018 00:00,0.0,0.0,0.0,0.0
21-Dec-2018 00:00,22-Dec-2018 00:00,0.0,0.0,0.0,0.0
22-Dec-2018 00:00,23-Dec-2018 00:00,0.0,0.0,0.0,0.0
23-Dec-2018 00:00,24-Dec-2018 00:00,0.0,0.0,0.0,0.0
24-Dec-2018 00:00,25-Dec-2018 00:00,0.0,0.0,0.0,0.0
25-Dec-2018 00:00,26-Dec-2018 00:00,0.0,0.0,0.0,0.0
26-Dec-2018 00:00,27-Dec-2018 00:00,0.0,0.0,0.0,0.0
27-Dec-2018 00:00,28-Dec-2018 00:00,0.0,0.0,0.0,0.0
28-Dec-2018 00:00,29-Dec-2018 00:00,0.0,0.0,0.0,0.0
29-Dec-2018 00:00,30-Dec-2018 00:00,0.0,0.0,0.0,0.0
30-Dec-2018 00:00,31-Dec-2018 00:00,0.0,0.0,0.0,0.0
31-Dec-2018 00:00,01-Jan-2019 00:00,0.0,0.0,0.0,0.0
01-Jan-2019 00:00,02-Jan-2019 00:00,0.0,0.0,0.0,0.0
02-Jan-2019 00:00,03-Jan-2019 00:00,0.0,0.0,0.0,0.0
03-Jan-2019 00:00,04-Jan-2019 00:00,0.0,0.0,0.0,0.0
04-Jan-2019 00:00,05-Jan-2019 00:00,0.0,0.0,0.0,0.0
05-Jan-2019 00:00,06-Jan-2019 00:00,0.0,0.0,0.0,0.0
06-Jan-2019 00:00,07-Jan-2019 00:00,0.0,0.0,0.0,0.0
07-Jan-2019 00:00,08-Jan-2019 00:00,0.0,0.0,0.0,0.0
08-Jan-2019 00:00,09-Jan-2019 00:00,0.0,0.0,0.0,0.0
09-Jan-2019 00:00,10-Jan-2019 00:00,0.0,0.0,0.0,0.0
10-Jan-2019 00:00,11-Jan-2019 00:00,0.0,0.0,0.0,0.0
11-Jan-2019 00:00,12-Jan-2019 00:00,0.0,0.0,0.0,0.0
12-Jan-2019 00:00,13-Jan-2019 00:00,0.0,0.0,0.0,0.0
13-Jan-2019 00:00,14-Jan-2019 00:00,0.0,0.0,0.0,0.0
14-Jan-2019 00:00,15-Jan-2019 00:00,0.0,0.0,0.0,0.0
15-Jan-2019 00:00,16-Jan-2019 00:00,0.0,0.0,0.0,0.0
16-Jan-2019 00:00,17-Jan-2019 00:00,0.0,0.0,0.0,0.0
17-Jan-2019 00:00,18-Jan-2019 00:00,0.0,0.0,0.0,0.0
18-Jan-2019 00:00,19-Jan-2019 00:00,0.0,0.0,0.0,0.0
19-Jan-2019 00:00,20-Jan-2019 00:00,0.0,0.0,0.0,0.0
20-Jan-2019 00:00,21-Jan-2019 00:00,0.0,0.0,0.0,0.0
21-Jan-2019 00:00,22-Jan-2019 00:00,0.0,0.0,0.0,0.0
22-Jan-2019 00:00,23-Jan-2019 00:00,0.0,0.0,0.0,0.0
23-Jan-2019 00:00,24-Jan-2019 00:00,0.0,0.0,0.0,0.0
24-Jan-2019 00:00,25-Jan-2019 00:00,0.0,0.0,0.0,0.0
25-Jan-2019 00:00,26-Jan-2019 00:00,0.0,0.0,0.0,0.0
